dataset,seed,class,sample_id,target,corrupt,valid,residual
fiveg_nidd,1,7,s174367,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s174367,cross_arch,1.0,False,0.0
fiveg_nidd,1,7,s161026,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s161026,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s161026,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s350776,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s350776,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s350776,cross_arch,0.75,False,0.0
fiveg_nidd,1,7,s124470,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s124470,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s124470,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s161343,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s161343,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s161343,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s125545,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s125545,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s125545,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s124877,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s124877,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s124877,cross_arch,0.0,True,0.0
fiveg_nidd,1,7,s328271,white_box,0.75,True,0.0
fiveg_nidd,1,7,s328271,cross_seed,1.0,False,0.0
fiveg_nidd,1,7,s328271,cross_arch,1.0,False,0.0
fiveg_nidd,1,7,s159985,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s159985,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s159985,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s124867,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s124867,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s124867,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s160047,white_box,0.75,True,0.0
fiveg_nidd,1,7,s160047,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s160047,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s139681,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s139681,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s139681,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s170297,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s170297,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s170297,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s349415,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s349415,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s349415,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s160139,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s160139,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s160139,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s327372,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s327372,cross_seed,1.0,False,0.0
fiveg_nidd,1,7,s327372,cross_arch,0.0,True,0.0
fiveg_nidd,1,7,s160290,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s160290,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s160290,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s286660,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s286660,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s286660,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,1,7,s118319,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s118319,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s118319,cross_arch,0.5714285714285714,False,0.0
fiveg_nidd,1,7,s174119,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s174119,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s174119,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s287341,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s287341,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s287341,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s160570,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s160570,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s160570,cross_arch,0.75,False,0.0
fiveg_nidd,1,7,s130884,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s130884,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s130884,cross_arch,0.75,False,0.0
fiveg_nidd,1,7,s139613,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s139613,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s139613,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,1,7,s157016,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s157016,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s157016,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,1,7,s157357,white_box,0.8888888888888888,True,0.0
fiveg_nidd,1,7,s157357,cross_seed,0.75,True,0.0
fiveg_nidd,1,7,s157357,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s141704,white_box,0.75,True,0.0
fiveg_nidd,2,7,s141704,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s141704,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s296032,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s296032,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s296032,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s158707,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s158707,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s158707,cross_arch,0.75,True,0.0
fiveg_nidd,2,7,s339535,white_box,0.75,True,0.0
fiveg_nidd,2,7,s339535,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s339535,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s296205,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s296205,cross_seed,0.5714285714285714,False,0.0
fiveg_nidd,2,7,s296205,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s296035,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s296035,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s296035,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s303112,white_box,0.75,True,0.0
fiveg_nidd,2,7,s303112,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s303112,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s344539,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s344539,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s344539,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s340703,white_box,0.75,True,0.0
fiveg_nidd,2,7,s340703,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s340703,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s309193,white_box,0.75,True,0.0
fiveg_nidd,2,7,s309193,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s309193,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s307622,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s307622,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s307622,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s305910,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s305910,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s305910,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s117651,white_box,0.75,True,0.0
fiveg_nidd,2,7,s117651,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s117651,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s298171,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s298171,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s298171,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s140253,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s140253,cross_seed,0.75,False,0.0
fiveg_nidd,2,7,s140253,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s286523,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s286523,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s286523,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s158306,white_box,0.75,True,0.0
fiveg_nidd,2,7,s158306,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s158306,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s159499,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s159499,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s159499,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s340400,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s340400,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s340400,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s309367,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s309367,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s309367,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s332649,white_box,0.75,True,0.0
fiveg_nidd,2,7,s332649,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s332649,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s120420,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s120420,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s120420,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s297265,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s297265,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s297265,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s343186,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s343186,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s343186,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s339901,white_box,0.75,True,0.0
fiveg_nidd,2,7,s339901,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s339901,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s298513,white_box,0.75,True,0.0
fiveg_nidd,2,7,s298513,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s298513,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s332709,white_box,0.75,True,0.0
fiveg_nidd,2,7,s332709,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s332709,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s136310,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s136310,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s136310,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s305675,white_box,0.75,True,0.0
fiveg_nidd,2,7,s305675,cross_seed,0.75,True,0.0
fiveg_nidd,2,7,s305675,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s307954,white_box,0.75,True,0.0
fiveg_nidd,2,7,s307954,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s307954,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s297058,white_box,0.75,True,0.0
fiveg_nidd,2,7,s297058,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s297058,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s308860,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s308860,cross_seed,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s308860,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s343346,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s343346,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s343346,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s307058,white_box,0.75,True,0.0
fiveg_nidd,2,7,s307058,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s307058,cross_arch,0.75,False,0.0
fiveg_nidd,2,7,s148815,white_box,0.75,True,0.0
fiveg_nidd,2,7,s148815,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s148815,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s148777,white_box,0.75,True,0.0
fiveg_nidd,2,7,s148777,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s148777,cross_arch,0.75,True,0.0
fiveg_nidd,2,7,s140015,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s140015,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s140015,cross_arch,0.0,True,0.0
fiveg_nidd,2,7,s302060,white_box,0.75,True,0.0
fiveg_nidd,2,7,s302060,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s302060,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,2,7,s302679,white_box,0.75,True,0.0
fiveg_nidd,2,7,s302679,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,2,7,s302679,cross_arch,0.75,True,0.0
fiveg_nidd,2,7,s136394,white_box,0.8888888888888888,True,0.0
fiveg_nidd,2,7,s136394,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,2,7,s136394,cross_arch,0.75,False,0.0
fiveg_nidd,3,7,s297542,white_box,0.75,True,0.0
fiveg_nidd,3,7,s297542,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,3,7,s297542,cross_arch,0.5714285714285714,True,0.0
fiveg_nidd,3,7,s300333,white_box,0.5714285714285714,True,0.0
fiveg_nidd,3,7,s300333,cross_seed,0.33333333333333337,True,0.0
fiveg_nidd,3,7,s300333,cross_arch,0.8888888888888888,False,0.0
fiveg_nidd,3,7,s341205,white_box,0.75,True,0.0
fiveg_nidd,3,7,s341205,cross_seed,0.8888888888888888,False,0.0
fiveg_nidd,3,7,s341205,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,3,7,s159980,white_box,0.75,True,0.0
fiveg_nidd,3,7,s159980,cross_seed,0.5714285714285714,True,0.0
fiveg_nidd,3,7,s159980,cross_arch,0.33333333333333337,True,0.0
fiveg_nidd,3,7,s122408,white_box,0.75,True,0.0
fiveg_nidd,3,7,s122408,cross_seed,0.75,True,0.0
fiveg_nidd,3,7,s122408,cross_arch,0.33333333333333337,True,0.0
