dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciomt2024,1,s252273,clean,0.0,0,0
ciciomt2024,1,s733344,clean,0.0,0,0
ciciomt2024,1,s266013,clean,0.0,0,0
ciciomt2024,1,s663697,clean,0.0,0,0
ciciomt2024,1,s230424,clean,0.0,0,0
ciciomt2024,1,s749936,clean,0.0,0,0
ciciomt2024,1,s603943,clean,0.0,0,0
ciciomt2024,1,s716226,clean,0.0,0,0
ciciomt2024,1,s690745,clean,0.0,0,0
ciciomt2024,1,s637892,clean,0.0,0,0
ciciomt2024,1,s691839,clean,0.0,0,0
ciciomt2024,1,s772556,clean,0.0,0,0
ciciomt2024,1,s211390,clean,0.0,0,0
ciciomt2024,1,s653518,clean,0.0,0,0
ciciomt2024,1,s192759,clean,0.0,0,0
ciciomt2024,1,s211744,clean,0.0,0,0
ciciomt2024,1,s777900,clean,0.0,0,0
ciciomt2024,1,s662359,clean,0.0,0,0
ciciomt2024,1,s196930,clean,0.0,0,0
ciciomt2024,1,s716860,clean,0.0,0,0
ciciomt2024,1,s271423,clean,0.0,0,0
ciciomt2024,1,s643074,clean,0.0,0,0
ciciomt2024,1,s693174,clean,0.0,0,0
ciciomt2024,1,s713676,clean,0.0,0,0
ciciomt2024,1,s287875,clean,0.0,0,0
ciciomt2024,1,s630353,clean,0.0,0,0
ciciomt2024,1,s192712,clean,0.0,0,0
ciciomt2024,1,s253445,clean,0.0,0,0
ciciomt2024,1,s654164,clean,0.0,0,0
ciciomt2024,1,s720302,clean,0.0,0,0
ciciomt2024,1,s757385,clean,0.0,0,0
ciciomt2024,1,s700617,clean,0.0,0,0
ciciomt2024,1,s189452,clean,0.0,0,0
ciciomt2024,1,s679979,clean,0.0,0,0
ciciomt2024,1,s222680,clean,0.0,0,0
ciciomt2024,1,s734307,clean,0.0,0,0
ciciomt2024,1,s594141,clean,0.0,0,0
ciciomt2024,1,s611433,clean,0.0,0,0
ciciomt2024,1,s297694,clean,0.0,0,0
ciciomt2024,1,s593579,clean,0.0,0,0
ciciomt2024,1,s257356,clean,0.0,0,0
ciciomt2024,1,s167347,clean,0.0,0,0
ciciomt2024,1,s747271,clean,0.0,0,0
ciciomt2024,1,s578900,clean,0.0,0,0
ciciomt2024,1,s616878,clean,0.0,0,0
ciciomt2024,1,s190913,A1_misdirection,0.098295,1,1
ciciomt2024,1,s188267,A1_misdirection,0.024147,1,0
ciciomt2024,1,s713712,A1_misdirection,0.0,0,0
ciciomt2024,1,s763375,A1_misdirection,0.007983,1,0
