seed,condition,radius
4,A1_displacement,0.098295
4,A1_displacement,0.0
4,A1_displacement,0.004758
4,A1_displacement,0.0
4,A1_displacement,0.021675
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0429
4,A1_displacement,0.098295
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.006902
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.022902
4,A1_displacement,0.065147
4,A1_displacement,0.005827
4,A1_displacement,0.0
4,A1_displacement,0.033516
4,A1_displacement,0.0
4,A1_displacement,0.002635
4,A1_displacement,0.026699
4,A1_displacement,0.0
4,A1_displacement,0.062194
4,A1_displacement,0.0
4,A1_displacement,0.003694
4,A1_displacement,0.0
4,A1_displacement,0.030704
4,A1_displacement,0.0
4,A1_displacement,0.098295
4,A1_displacement,0.0
4,A1_displacement,0.0
4,A1_displacement,0.0
